# Datenquellen:
# 1) Robert Koch-Institut (SurvStat@RKI 2.0), https://survstat.rki.de, Abfragedatum: 22.09.2020; Datenstand: 2020-09-22 01:38:06; eigene Berechnung/eigene Darstellung
#    Meldungen aller Krankheiten 2020 als Neuinfizierte und Inzidenz für die Kreise zur Rückrechnung der Populationsdaten, die das RKI benutzt
#    für eigene Inzidenz-Berechnungen mit RKI/NPGEO (ArcGis-Hub) Daten.
#    Betrifft Spalten "A00-A04" bis "Einwohner in 100k (RKI SurvStat)"
# 2) Statistisches Bundesamt (Destatis), Genesis-Online, 12.09.2020; Datenlizenz by-2-0; eigene Berechnung/eigene Darstellung
#    Betrifft Spalten "Einwohner in 100k (Destatis Genesis)"
#    Web: https://www-genesis.destatis.de/genesis//online?operation=table&code=12411-0012&bypass=true&levelindex=1&levelid=1599941808956#abreadcrumb
# Datenlizenz by-2-0: https://www.govdata.de/dl-de/by-2-0
RKI NPGEO Kreis	SurvStat Kreis	Bundesland	Id	A00-A04	A05-A14	A15-A34	A35-A59	A60-A79	A80+	Einwohner in 100k (RKI SurvStat)	Einwohner in 100k (Destatis Genesis)
LK Bayreuth	LK Bayreuth	Bayern	9472	0.04312	0.09025	0.21241	0.38294	0.23937	0.06847	1.03656	1.03664
LK Berchtesgadener Land	LK Berchtesgadener Land	Bayern	9172	0.04814	0.08763	0.24526	0.36142	0.23972	0.07505	1.05722	1.05929
LK Bergstraße	LK Bergstraße	Hessen	6431	0.12375	0.23515	0.5721	0.97636	0.61653	0.17306	2.69695	2.7034
LK Bernkastel-Wittlich	LK Bernkastel-Wittlich	Rheinland-Pfalz	7231	0.05137	0.09737	0.23481	0.39925	0.25906	0.08076	1.12262	1.12483
LK Biberach	LK Biberach	Baden-Württemberg	8426	0.10636	0.20049	0.48057	0.71007	0.38875	0.11118	1.99742	2.01282
LK Birkenfeld	LK Birkenfeld	Rheinland-Pfalz	7134	0.03448	0.06638	0.17166	0.27563	0.1969	0.06215	0.8072	0.80951
LK Bitburg-Prüm	LK Bitburg-Prüm	Rheinland-Pfalz	7232	0.048	0.08946	0.22082	0.35198	0.21212	0.06323	0.98561	0.99058
LK Böblingen	LK Böblingen	Baden-Württemberg	8115	0.20771	0.37589	0.92134	1.39523	0.78259	0.23364	3.9164	3.92807
LK Bodenseekreis	LK Bodenseekreis	Baden-Württemberg	8435	0.10042	0.19587	0.4842	0.75365	0.48778	0.14035	2.16227	2.1747
LK Börde	LK Börde	Sachsen-Anhalt	15083	0.07327	0.15106	0.29597	0.64496	0.43703	0.11505	1.71734	1.70923
LK Borken	LK Borken	Nordrhein-Westfalen	5554	0.18721	0.36987	0.87682	1.33025	0.73109	0.21151	3.70675	3.71339
LK Breisgau-Hochschwarzwald	LK Breisgau-Hochschwarzwald	Baden-Württemberg	8315	0.12805	0.24832	0.58131	0.91917	0.58123	0.16987	2.62795	2.63601
LK Burgenlandkreis	LK Burgenlandkreis	Sachsen-Anhalt	15084	0.07181	0.14073	0.29979	0.63549	0.49799	0.15609	1.8019	1.78846
LK Calw	LK Calw	Baden-Württemberg	8235	0.07536	0.14699	0.35903	0.56482	0.33721	0.10056	1.58397	1.59201
LK Celle	LK Celle	Niedersachsen	3351	0.08428	0.16798	0.38319	0.61299	0.41771	0.12321	1.78936	1.79011
LK Cham	LK Cham	Bayern	9372	0.05719	0.10942	0.2882	0.46018	0.28472	0.07911	1.27882	1.27998
LK Cloppenburg	LK Cloppenburg	Niedersachsen	3453	0.09505	0.18487	0.44172	0.59144	0.29678	0.08362	1.69348	1.70682
